food,Caloric Value,Fat,Carbohydrates,Sugars,Protein
french beans cooked,228,1.3,42.5,0.0,12.5
adzuki beans cooked,294,0.2,57.0,0.0,17.3
baby lima beans cooked,189,0.5,35.0,2.5,12.0
shellie beans canned,74,0.5,15.2,1.5,4.3
pinto beans canned,197,1.3,36.4,2.4,11.0
chickpeas cooked,269,4.2,45.0,7.9,14.5
mungo beans cooked,189,1.0,33.0,3.6,13.6
yellow snap beans cooked,44,0.4,9.9,4.5,2.4
yardlong beans cooked,202,0.8,36.1,0.0,14.2
rice pudding,122,2.4,20.8,13.1,3.6
gushers fruit gushers,360,6.0,0.2,0.0,0.0
vegetable fruit juice,9,0.017,2.2,0.6,0.071
rice drink,113,2.3,22.0,12.7,0.7
caramel med iced coffee dunkin donuts,268,9.0,0.0,0.0,0.0
passion fruit juice purple,148,0.4,35.7,35.2,1.7
passion fruit juice yellow,126,0.1,33.6,33.1,1.0
grapefruit juice,96,0.2,22.7,0.0,1.2
pineapple grapefruit juice,118,0.3,29.0,28.8,0.5
orange grapefruit juice,106,0.2,25.4,25.1,1.5
citrus fruit juice,114,0.057,28.3,20.2,0.8
fruit juice,108,0.1,26.3,24.2,0.3
fruit punch,98,0.4,24.4,0.0,0.2
white grapefruit juice,96,0.2,22.7,22.5,1.2
fruit flavored water,52,0.0,13.0,13.0,0.0
herb tea,2,0.0,0.4,0.0,0.0
clam tomato juice,80,0.3,18.2,5.5,1.0
tomato juice,41,0.7,8.6,6.3,2.1
tomato vegetable juice,53,0.2,11.1,9.2,1.5
carrot juice,80,0.3,18.6,7.8,1.9
fenugreek seeds,36,0.7,6.5,0.0,2.6
beechnuts dried,173,15.0,10.1,0.0,1.9
cumin seeds,8,0.5,0.9,0.063,0.4
hazelnuts roasted,194,18.7,5.3,1.5,4.5
hazelnuts blanched,178,17.3,4.8,1.0,3.9
brazilnuts dried,33,3.3,0.6,0.1,0.7
sunflower seeds dry roasted,47,4.0,1.9,0.2,1.5
ginkgo nuts canned,172,2.5,34.3,0.0,3.5
sunflower seeds dried,269,23.7,9.2,1.2,9.6
lotus seeds dried,106,0.6,20.6,0.0,4.9
sesame seeds dried,52,4.5,2.1,0.031,1.6
breadfruit seeds,57,1.7,8.8,0.0,2.2
pinyon pine nuts dried,1,0.073,0.01,0.0,0.083
flaxseeds,55,4.3,3.0,0.2,1.9
poppy seeds,46,3.7,2.5,0.3,1.6
dill seeds,20,1.0,3.6,0.0,1.1
almonds roasted,182,16.6,5.3,1.4,6.4
chestnuts cooked,37,0.4,7.9,0.0,0.6
alfalfa seeds,1,0.075,0.002,0.058,0.1
virginia peanuts roasted,173,14.6,6.0,0.0,7.8
anise seeds,7,0.3,1.1,0.0,0.4
macadamia nuts roasted,215,22.8,4.0,1.2,2.3
pumpkin squash seeds roasted,46,3.9,1.2,0.1,2.4
chestnuts roasted,37,0.3,7.9,1.6,0.5
peanuts roasted,180,15.8,4.6,1.3,8.4
sisymbrium seeds,235,3.4,43.1,0.0,9.0
chia seeds dried,138,8.7,11.9,0.0,4.7
japanese chestnuts roasted,57,0.2,12.8,0.0,0.8
sesame seeds toasted,45,3.8,2.1,0.0,1.4
cashew nuts roasted,174,14.3,9.0,1.5,5.1
mustard seeds ground,10,0.7,0.6,0.1,0.5
mixed nuts roasted,178,15.4,7.6,1.4,5.2
pistachio nuts roasted,172,13.7,8.5,2.3,6.3
walnut,33,3.3,0.7,0.1,0.8
celery seeds,25,1.6,2.7,0.078,1.2
woca seeds dried,102,0.3,22.6,0.1,2.2
fennel seeds,7,0.3,1.0,0.0,0.3
chinese chestnuts roasted,68,0.3,14.8,0.0,1.3
black walnut dried,31,3.0,0.5,0.018,1.2
ginkgo nuts dried,98,0.6,20.5,0.0,2.9
valencia peanuts roasted,177,15.4,4.9,0.0,8.1
muesli with fruit nuts,231,3.4,45.7,14.2,4.3
soy margarine,88,9.9,0.0,0.0,0.0
almond oil,120,13.6,0.0,0.0,0.0
avocado oil,124,14.0,0.0,0.0,0.0
coconut oil,117,13.6,0.0,0.0,0.0
olive oil,119,13.5,0.0,0.0,0.0
rice bran oil,120,13.6,0.0,0.0,0.0
rice noodles dry,103,0.2,23.6,0.0,1.0
spinach spaghetti dry,105,0.4,21.2,0.8,3.8
rice noodles cooked,190,0.4,42.3,0.052,3.2
fruit toaster pastry,209,5.6,37.1,14.8,2.4
rice bran bread,66,1.2,11.7,1.3,2.4
garlic bread,151,7.1,17.9,1.6,3.6
rice bran bread toasted,66,1.3,11.8,1.3,2.4
oriental rice cracker mix,143,7.2,14.6,0.8,4.9
puffed rice,153,0.2,34.1,0.0,2.4
cornnuts,126,4.4,20.3,0.2,2.4
onion snacks,150,6.8,19.5,1.4,2.3
tomato sauce,59,0.7,13.0,8.7,2.9
onion gravy dry,77,0.7,16.2,0.0,2.2
tomato sauce with mushrooms,86,0.3,20.7,14.1,3.6
tomato sauce with onions,103,0.5,24.4,0.0,3.8
spanish tomato sauce,81,0.7,17.7,0.0,3.5
tomato ketchup mp,15,0.0,0.2,0.0,0.0
tomato chili sauce,6,0.095,1.2,0.6,0.2
sprouted soybean cooked,76,4.2,6.1,0.4,8.0
soy flour roasted,375,18.6,28.6,6.5,29.6
soy flour low fat,330,7.8,30.7,9.3,40.0
green soybean cooked,127,5.8,9.9,0.0,11.1
azumaya tofu vitasoy,316,16.6,9.1,1.6,32.8
soy proteins isolate,96,1.0,2.1,0.0,22.8
soy vermicelli,463,0.1,115.2,24.4,0.1
tofu fried,35,2.6,1.2,0.4,2.4
tempeh,320,17.9,15.6,0.0,30.8
soya vanille joghurt alpro,21,0.6,1.0,0.09,0.3
soy sauce,8,0.054,0.8,0.097,1.3
soybean dry roasted,419,20.1,30.4,0.0,36.8
soybean oil,120,13.6,0.0,0.0,0.0
soybean cooked,296,15.4,17.1,5.2,28.6
soy flour,23,1.1,1.8,0.4,1.8
soybean lecithin oil,104,13.6,0.0,0.0,0.0
soy chips,109,2.1,15.0,0.5,7.5
soy proteins concentrate,93,0.1,7.2,0.0,18.0
soybean margarine,34,3.8,0.043,0.0,0.052
tempeh cooked,55,3.2,2.6,0.0,5.1
soy oil,120,13.6,0.0,0.0,0.0
broccoli cooked,98,1.1,20.1,3.9,6.7
cucumber peeled,16,0.2,2.9,1.8,0.8
peas onions cooked,81,0.4,15.5,6.8,4.6
tomato cooked,22,0.1,4.9,3.1,1.2
spinach cooked,41,0.5,6.8,0.8,5.3
sweet onion,106,0.3,25.0,16.6,2.6
radish seeds sprouted,16,1.0,1.4,0.0,1.4
mustard spinach cooked,29,0.4,5.0,0.0,3.1
cucumber,23,0.2,5.4,2.5,1.0
green tomato,42,0.4,9.3,7.3,2.2
dried tomatoes,5,0.053,1.1,0.8,0.3
yellow tomato,32,0.6,6.3,0.0,2.1
lentil sprouts,82,0.4,17.0,0.0,6.9
carrots cooked,16,0.092,3.8,1.6,0.3
baby carrots,5,0.053,1.2,0.7,0.031
peas carrots cooked,77,0.7,16.2,7.0,4.9
orange tomato,18,0.2,3.5,0.0,1.3
avocado,432,39.6,23.0,1.8,5.4
string beans wellsley farms,8,0.0,1.7,0.3,0.3
broccoli raab cooked,21,0.4,2.7,0.5,3.3
spring onion scallions,6,0.077,1.5,0.5,0.4
new zealand spinach cooked,22,0.3,3.8,0.5,2.3
dill pickled cucumber,17,0.2,3.7,1.9,0.9
onion cooked,7,0.034,1.5,0.7,0.2
tomato stewed,97,3.3,16.1,0.0,2.4
peas onions canned,61,0.5,10.3,0.0,3.9
tomato puree canned,95,0.5,22.5,12.1,4.1
dried tomatoes canned in oil,6,0.4,0.7,0.0,0.2
carrots canned,104,0.6,24.4,11.2,2.6
tomatoes in tomato juice canned,41,0.3,9.6,5.7,1.9
onions canned,12,0.084,2.5,1.4,0.5
spinach canned,44,0.9,6.8,0.0,4.9
peas carrots canned,97,0.7,21.6,7.2,5.5
tomatoes canned,77,0.7,17.6,10.6,4.0
stewed tomatoes canned,66,0.5,15.8,9.0,2.3
tomato paste canned,215,1.2,49.5,31.9,11.3
grape apple salad with walnuts,191,8.2,25.6,20.3,3.5
